Model,Train Accuracy,Test Accuracy,F1-Score,Training Time (s)
Gradient Boosting,1.0,0.5909090909090909,0.5868072435585805,2.6328561305999756
SVM (RBF),0.7424242424242424,0.5454545454545454,0.4566115702479339,0.008887529373168945
Random Forest,1.0,0.5454545454545454,0.5261437908496732,0.15552186965942383
Decision Tree,1.0,0.5,0.49243437044239174,0.014444589614868164
Logistic Regression,1.0,0.5,0.5012477718360071,0.04831075668334961
Naive Bayes,0.7575757575757576,0.5,0.4696969696969697,0.002580881118774414
K-Nearest Neighbors,0.7121212121212122,0.45454545454545453,0.4401913875598085,3.546060085296631
